# Old Mojang name → New Mojang name (26.1 package reorganization)
# Format: OLD_CLASS	NEW_CLASS
net/minecraft/BlockUtil	net/minecraft/util/BlockUtil
net/minecraft/client/model/TurtleModel	net/minecraft/client/model/animal/turtle/TurtleModel
net/minecraft/client/model/VexModel	net/minecraft/client/model/monster/vex/VexModel
net/minecraft/client/model/VillagerModel	net/minecraft/client/model/npc/VillagerModel
net/minecraft/client/model/WardenModel	net/minecraft/client/model/monster/warden/WardenModel
net/minecraft/client/model/WindChargeModel	net/minecraft/client/model/object/projectile/WindChargeModel
net/minecraft/client/model/WitchModel	net/minecraft/client/model/monster/witch/WitchModel
net/minecraft/client/model/WitherBossModel	net/minecraft/client/model/monster/wither/WitherBossModel
net/minecraft/client/model/WolfModel	net/minecraft/client/model/animal/wolf/WolfModel
net/minecraft/client/model/ZombieModel	net/minecraft/client/model/monster/zombie/ZombieModel
net/minecraft/client/model/ZombieVillagerModel	net/minecraft/client/model/monster/zombie/ZombieVillagerModel
net/minecraft/client/model/ZombifiedPiglinModel	net/minecraft/client/model/monster/piglin/ZombifiedPiglinModel
net/minecraft/client/model/dragon/DragonHeadModel	net/minecraft/client/model/object/skull/DragonHeadModel
net/minecraft/client/model/dragon/EnderDragonModel	net/minecraft/client/model/monster/dragon/EnderDragonModel
net/minecraft/client/renderer/FogRenderer	net/minecraft/client/renderer/fog/FogRenderer
net/minecraft/client/renderer/FogRenderer$FogMode	net/minecraft/client/renderer/fog/FogRenderer$FogMode
net/minecraft/client/renderer/RenderType	net/minecraft/client/renderer/rendertype/RenderType
net/minecraft/client/renderer/block/model/BakedQuad	net/minecraft/client/resources/model/geometry/BakedQuad
net/minecraft/client/renderer/block/model/FaceBakery	net/minecraft/client/resources/model/cuboid/FaceBakery
net/minecraft/client/renderer/block/model/FaceBakery$1	net/minecraft/client/resources/model/cuboid/FaceBakery$1
net/minecraft/client/renderer/block/model/ItemModelGenerator	net/minecraft/client/resources/model/cuboid/ItemModelGenerator
net/minecraft/client/renderer/block/model/ItemTransform	net/minecraft/client/resources/model/cuboid/ItemTransform
net/minecraft/client/renderer/block/model/ItemTransform$Deserializer	net/minecraft/client/resources/model/cuboid/ItemTransform$Deserializer
net/minecraft/client/renderer/block/model/ItemTransforms	net/minecraft/client/resources/model/cuboid/ItemTransforms
net/minecraft/client/renderer/block/model/ItemTransforms$1	net/minecraft/client/resources/model/cuboid/ItemTransforms$1
net/minecraft/client/renderer/block/model/ItemTransforms$Deserializer	net/minecraft/client/resources/model/cuboid/ItemTransforms$Deserializer
net/minecraft/client/renderer/block/model/MultiVariant	net/minecraft/client/data/models/MultiVariant
net/minecraft/client/renderer/block/model/TextureSlots	net/minecraft/client/resources/model/sprite/TextureSlots
net/minecraft/client/renderer/block/model/TextureSlots$Data	net/minecraft/client/resources/model/sprite/TextureSlots$Data
net/minecraft/client/renderer/block/model/TextureSlots$Data$Builder	net/minecraft/client/resources/model/sprite/TextureSlots$Data$Builder
net/minecraft/client/renderer/block/model/TextureSlots$Reference	net/minecraft/client/resources/model/sprite/TextureSlots$Reference
net/minecraft/client/renderer/block/model/TextureSlots$Resolver	net/minecraft/client/resources/model/sprite/TextureSlots$Resolver
net/minecraft/client/renderer/block/model/TextureSlots$SlotContents	net/minecraft/client/resources/model/sprite/TextureSlots$SlotContents
net/minecraft/client/renderer/block/model/TextureSlots$Value	net/minecraft/client/resources/model/sprite/TextureSlots$Value
net/minecraft/client/renderer/block/model/Variant	net/minecraft/client/renderer/block/dispatch/Variant
net/minecraft/client/renderer/block/model/VariantSelector	net/minecraft/client/renderer/block/dispatch/VariantSelector
net/minecraft/client/renderer/block/model/multipart/Condition	net/minecraft/client/renderer/block/dispatch/multipart/Condition
net/minecraft/client/renderer/block/model/multipart/KeyValueCondition	net/minecraft/client/renderer/block/dispatch/multipart/KeyValueCondition
net/minecraft/client/renderer/block/model/multipart/Selector	net/minecraft/client/renderer/block/dispatch/multipart/Selector
net/minecraft/client/resources/PlayerSkin	net/minecraft/world/entity/player/PlayerSkin
net/minecraft/client/resources/model/BlockModelRotation	net/minecraft/client/renderer/block/dispatch/BlockModelRotation
net/minecraft/client/resources/model/Material	net/minecraft/client/resources/model/sprite/Material
net/minecraft/client/resources/model/ModelState	net/minecraft/client/renderer/block/dispatch/ModelState
net/minecraft/client/resources/model/SpriteGetter	net/minecraft/client/resources/model/sprite/SpriteGetter
net/minecraft/core/component/DataComponentPredicate	net/minecraft/core/component/predicates/DataComponentPredicate
net/minecraft/core/particles/ParticleGroup	net/minecraft/client/particle/ParticleGroup
net/minecraft/network/chat/contents/BlockDataSource	net/minecraft/network/chat/contents/data/BlockDataSource
net/minecraft/network/chat/contents/DataSource	net/minecraft/network/chat/contents/data/DataSource
net/minecraft/network/chat/contents/EntityDataSource	net/minecraft/network/chat/contents/data/EntityDataSource
net/minecraft/network/chat/contents/StorageDataSource	net/minecraft/network/chat/contents/data/StorageDataSource
net/minecraft/references/Blocks	net/minecraft/world/level/block/Blocks
net/minecraft/references/Items	net/minecraft/world/item/Items
net/minecraft/server/packs/linkfs/DummyFileAttributes	net/minecraft/util/DummyFileAttributes
net/minecraft/util/datafix/FixWolfHealth	net/minecraft/util/datafix/fixes/FixWolfHealth
net/minecraft/world/ContainerListener	net/minecraft/world/inventory/ContainerListener
net/minecraft/world/entity/GlowSquid	net/minecraft/world/entity/animal/squid/GlowSquid
net/minecraft/world/entity/animal/AbstractFish	net/minecraft/world/entity/animal/fish/AbstractFish
net/minecraft/world/entity/animal/AbstractFish$FishMoveControl	net/minecraft/world/entity/animal/fish/AbstractFish$FishMoveControl
net/minecraft/world/entity/animal/AbstractFish$FishSwimGoal	net/minecraft/world/entity/animal/fish/AbstractFish$FishSwimGoal
net/minecraft/world/entity/animal/AbstractGolem	net/minecraft/world/entity/animal/golem/AbstractGolem
net/minecraft/world/entity/animal/AbstractSchoolingFish	net/minecraft/world/entity/animal/fish/AbstractSchoolingFish
net/minecraft/world/entity/animal/AbstractSchoolingFish$SchoolSpawnGroupData	net/minecraft/world/entity/animal/fish/AbstractSchoolingFish$SchoolSpawnGroupData
net/minecraft/world/entity/animal/Bee	net/minecraft/world/entity/animal/bee/Bee
net/minecraft/world/entity/animal/Bee$1	net/minecraft/world/entity/animal/bee/Bee$1
net/minecraft/world/entity/animal/Bee$BaseBeeGoal	net/minecraft/world/entity/animal/bee/Bee$BaseBeeGoal
net/minecraft/world/entity/animal/Bee$BeeAttackGoal	net/minecraft/world/entity/animal/bee/Bee$BeeAttackGoal
net/minecraft/world/entity/animal/Bee$BeeBecomeAngryTargetGoal	net/minecraft/world/entity/animal/bee/Bee$BeeBecomeAngryTargetGoal
net/minecraft/world/entity/animal/Bee$BeeEnterHiveGoal	net/minecraft/world/entity/animal/bee/Bee$BeeEnterHiveGoal
net/minecraft/world/entity/animal/Bee$BeeGoToHiveGoal	net/minecraft/world/entity/animal/bee/Bee$BeeGoToHiveGoal
net/minecraft/world/entity/animal/Bee$BeeGoToKnownFlowerGoal	net/minecraft/world/entity/animal/bee/Bee$BeeGoToKnownFlowerGoal
net/minecraft/world/entity/animal/Bee$BeeGrowCropGoal	net/minecraft/world/entity/animal/bee/Bee$BeeGrowCropGoal
net/minecraft/world/entity/animal/Bee$BeeHurtByOtherGoal	net/minecraft/world/entity/animal/bee/Bee$BeeHurtByOtherGoal
net/minecraft/world/entity/animal/Bee$BeeLocateHiveGoal	net/minecraft/world/entity/animal/bee/Bee$BeeLocateHiveGoal
net/minecraft/world/entity/animal/Bee$BeeLookControl	net/minecraft/world/entity/animal/bee/Bee$BeeLookControl
net/minecraft/world/entity/animal/Bee$BeePollinateGoal	net/minecraft/world/entity/animal/bee/Bee$BeePollinateGoal
net/minecraft/world/entity/animal/Bee$BeeWanderGoal	net/minecraft/world/entity/animal/bee/Bee$BeeWanderGoal
net/minecraft/world/entity/animal/Bee$ValidateFlowerGoal	net/minecraft/world/entity/animal/bee/Bee$ValidateFlowerGoal
net/minecraft/world/entity/animal/Bee$ValidateHiveGoal	net/minecraft/world/entity/animal/bee/Bee$ValidateHiveGoal
net/minecraft/world/entity/animal/Cat	net/minecraft/world/entity/animal/feline/Cat
net/minecraft/world/entity/animal/Cat$CatAvoidEntityGoal	net/minecraft/world/entity/animal/feline/Cat$CatAvoidEntityGoal
net/minecraft/world/entity/animal/Cat$CatRelaxOnOwnerGoal	net/minecraft/world/entity/animal/feline/Cat$CatRelaxOnOwnerGoal
net/minecraft/world/entity/animal/Cat$CatTemptGoal	net/minecraft/world/entity/animal/feline/Cat$CatTemptGoal
net/minecraft/world/entity/animal/CatVariant	net/minecraft/world/entity/animal/feline/CatVariant
net/minecraft/world/entity/animal/Chicken	net/minecraft/world/entity/animal/chicken/Chicken
net/minecraft/world/entity/animal/Cod	net/minecraft/world/entity/animal/fish/Cod
net/minecraft/world/entity/animal/Cow	net/minecraft/world/entity/animal/cow/Cow
net/minecraft/world/entity/animal/Dolphin	net/minecraft/world/entity/animal/dolphin/Dolphin
net/minecraft/world/entity/animal/Dolphin$DolphinSwimToTreasureGoal	net/minecraft/world/entity/animal/dolphin/Dolphin$DolphinSwimToTreasureGoal
net/minecraft/world/entity/animal/Dolphin$DolphinSwimWithPlayerGoal	net/minecraft/world/entity/animal/dolphin/Dolphin$DolphinSwimWithPlayerGoal
net/minecraft/world/entity/animal/Dolphin$PlayWithItemsGoal	net/minecraft/world/entity/animal/dolphin/Dolphin$PlayWithItemsGoal
net/minecraft/world/entity/animal/Fox	net/minecraft/world/entity/animal/fox/Fox
net/minecraft/world/entity/animal/Fox$DefendTrustedTargetGoal	net/minecraft/world/entity/animal/fox/Fox$DefendTrustedTargetGoal
net/minecraft/world/entity/animal/Fox$FaceplantGoal	net/minecraft/world/entity/animal/fox/Fox$FaceplantGoal
net/minecraft/world/entity/animal/Fox$FoxAlertableEntitiesSelector	net/minecraft/world/entity/animal/fox/Fox$FoxAlertableEntitiesSelector
net/minecraft/world/entity/animal/Fox$FoxBehaviorGoal	net/minecraft/world/entity/animal/fox/Fox$FoxBehaviorGoal
net/minecraft/world/entity/animal/Fox$FoxBreedGoal	net/minecraft/world/entity/animal/fox/Fox$FoxBreedGoal
net/minecraft/world/entity/animal/Fox$FoxEatBerriesGoal	net/minecraft/world/entity/animal/fox/Fox$FoxEatBerriesGoal
net/minecraft/world/entity/animal/Fox$FoxFloatGoal	net/minecraft/world/entity/animal/fox/Fox$FoxFloatGoal
net/minecraft/world/entity/animal/Fox$FoxFollowParentGoal	net/minecraft/world/entity/animal/fox/Fox$FoxFollowParentGoal
net/minecraft/world/entity/animal/Fox$FoxGroupData	net/minecraft/world/entity/animal/fox/Fox$FoxGroupData
net/minecraft/world/entity/animal/Fox$FoxLookAtPlayerGoal	net/minecraft/world/entity/animal/fox/Fox$FoxLookAtPlayerGoal
net/minecraft/world/entity/animal/Fox$FoxLookControl	net/minecraft/world/entity/animal/fox/Fox$FoxLookControl
net/minecraft/world/entity/animal/Fox$FoxMeleeAttackGoal	net/minecraft/world/entity/animal/fox/Fox$FoxMeleeAttackGoal
net/minecraft/world/entity/animal/Fox$FoxMoveControl	net/minecraft/world/entity/animal/fox/Fox$FoxMoveControl
net/minecraft/world/entity/animal/Fox$FoxPanicGoal	net/minecraft/world/entity/animal/fox/Fox$FoxPanicGoal
net/minecraft/world/entity/animal/Fox$FoxPounceGoal	net/minecraft/world/entity/animal/fox/Fox$FoxPounceGoal
net/minecraft/world/entity/animal/Fox$FoxSearchForItemsGoal	net/minecraft/world/entity/animal/fox/Fox$FoxSearchForItemsGoal
net/minecraft/world/entity/animal/Fox$FoxStrollThroughVillageGoal	net/minecraft/world/entity/animal/fox/Fox$FoxStrollThroughVillageGoal
net/minecraft/world/entity/animal/Fox$PerchAndSearchGoal	net/minecraft/world/entity/animal/fox/Fox$PerchAndSearchGoal
net/minecraft/world/entity/animal/Fox$SeekShelterGoal	net/minecraft/world/entity/animal/fox/Fox$SeekShelterGoal
net/minecraft/world/entity/animal/Fox$SleepGoal	net/minecraft/world/entity/animal/fox/Fox$SleepGoal
net/minecraft/world/entity/animal/Fox$StalkPreyGoal	net/minecraft/world/entity/animal/fox/Fox$StalkPreyGoal
net/minecraft/world/entity/animal/Fox$Variant	net/minecraft/world/entity/animal/fox/Fox$Variant
net/minecraft/world/entity/animal/FrogVariant	net/minecraft/world/entity/animal/frog/FrogVariant
net/minecraft/world/entity/animal/IronGolem	net/minecraft/world/entity/animal/golem/IronGolem
net/minecraft/world/entity/animal/MushroomCow	net/minecraft/world/entity/animal/cow/MushroomCow
net/minecraft/world/entity/animal/MushroomCow$Variant	net/minecraft/world/entity/animal/cow/MushroomCow$Variant
net/minecraft/world/entity/animal/Ocelot	net/minecraft/world/entity/animal/feline/Ocelot
net/minecraft/world/entity/animal/Ocelot$OcelotAvoidEntityGoal	net/minecraft/world/entity/animal/feline/Ocelot$OcelotAvoidEntityGoal
net/minecraft/world/entity/animal/Ocelot$OcelotTemptGoal	net/minecraft/world/entity/animal/feline/Ocelot$OcelotTemptGoal
net/minecraft/world/entity/animal/Panda	net/minecraft/world/entity/animal/panda/Panda
net/minecraft/world/entity/animal/Panda$Gene	net/minecraft/world/entity/animal/panda/Panda$Gene
net/minecraft/world/entity/animal/Panda$PandaAttackGoal	net/minecraft/world/entity/animal/panda/Panda$PandaAttackGoal
net/minecraft/world/entity/animal/Panda$PandaAvoidGoal	net/minecraft/world/entity/animal/panda/Panda$PandaAvoidGoal
net/minecraft/world/entity/animal/Panda$PandaBreedGoal	net/minecraft/world/entity/animal/panda/Panda$PandaBreedGoal
net/minecraft/world/entity/animal/Panda$PandaHurtByTargetGoal	net/minecraft/world/entity/animal/panda/Panda$PandaHurtByTargetGoal
net/minecraft/world/entity/animal/Panda$PandaLieOnBackGoal	net/minecraft/world/entity/animal/panda/Panda$PandaLieOnBackGoal
net/minecraft/world/entity/animal/Panda$PandaLookAtPlayerGoal	net/minecraft/world/entity/animal/panda/Panda$PandaLookAtPlayerGoal
net/minecraft/world/entity/animal/Panda$PandaMoveControl	net/minecraft/world/entity/animal/panda/Panda$PandaMoveControl
net/minecraft/world/entity/animal/Panda$PandaPanicGoal	net/minecraft/world/entity/animal/panda/Panda$PandaPanicGoal
net/minecraft/world/entity/animal/Panda$PandaRollGoal	net/minecraft/world/entity/animal/panda/Panda$PandaRollGoal
net/minecraft/world/entity/animal/Panda$PandaSitGoal	net/minecraft/world/entity/animal/panda/Panda$PandaSitGoal
net/minecraft/world/entity/animal/Panda$PandaSneezeGoal	net/minecraft/world/entity/animal/panda/Panda$PandaSneezeGoal
net/minecraft/world/entity/animal/Parrot	net/minecraft/world/entity/animal/parrot/Parrot
net/minecraft/world/entity/animal/Parrot$1	net/minecraft/world/entity/animal/parrot/Parrot$1
net/minecraft/world/entity/animal/Parrot$ParrotWanderGoal	net/minecraft/world/entity/animal/parrot/Parrot$ParrotWanderGoal
net/minecraft/world/entity/animal/Parrot$Variant	net/minecraft/world/entity/animal/parrot/Parrot$Variant
net/minecraft/world/entity/animal/Pig	net/minecraft/world/entity/animal/pig/Pig
net/minecraft/world/entity/animal/PolarBear	net/minecraft/world/entity/animal/polarbear/PolarBear
net/minecraft/world/entity/animal/PolarBear$PolarBearAttackPlayersGoal	net/minecraft/world/entity/animal/polarbear/PolarBear$PolarBearAttackPlayersGoal
net/minecraft/world/entity/animal/PolarBear$PolarBearHurtByTargetGoal	net/minecraft/world/entity/animal/polarbear/PolarBear$PolarBearHurtByTargetGoal
net/minecraft/world/entity/animal/PolarBear$PolarBearMeleeAttackGoal	net/minecraft/world/entity/animal/polarbear/PolarBear$PolarBearMeleeAttackGoal
net/minecraft/world/entity/animal/Pufferfish	net/minecraft/world/entity/animal/fish/Pufferfish
net/minecraft/world/entity/animal/Pufferfish$PufferfishPuffGoal	net/minecraft/world/entity/animal/fish/Pufferfish$PufferfishPuffGoal
net/minecraft/world/entity/animal/Rabbit	net/minecraft/world/entity/animal/rabbit/Rabbit
net/minecraft/world/entity/animal/Rabbit$RabbitAvoidEntityGoal	net/minecraft/world/entity/animal/rabbit/Rabbit$RabbitAvoidEntityGoal
net/minecraft/world/entity/animal/Rabbit$RabbitGroupData	net/minecraft/world/entity/animal/rabbit/Rabbit$RabbitGroupData
net/minecraft/world/entity/animal/Rabbit$RabbitJumpControl	net/minecraft/world/entity/animal/rabbit/Rabbit$RabbitJumpControl
net/minecraft/world/entity/animal/Rabbit$RabbitMoveControl	net/minecraft/world/entity/animal/rabbit/Rabbit$RabbitMoveControl
net/minecraft/world/entity/animal/Rabbit$RabbitPanicGoal	net/minecraft/world/entity/animal/rabbit/Rabbit$RabbitPanicGoal
net/minecraft/world/entity/animal/Rabbit$RaidGardenGoal	net/minecraft/world/entity/animal/rabbit/Rabbit$RaidGardenGoal
net/minecraft/world/entity/animal/Rabbit$Variant	net/minecraft/world/entity/animal/rabbit/Rabbit$Variant
net/minecraft/world/entity/animal/Salmon	net/minecraft/world/entity/animal/fish/Salmon
net/minecraft/world/entity/animal/Salmon$Variant	net/minecraft/world/entity/animal/fish/Salmon$Variant
net/minecraft/world/entity/animal/Sheep	net/minecraft/world/entity/animal/sheep/Sheep
net/minecraft/world/entity/animal/ShoulderRidingEntity	net/minecraft/world/entity/animal/parrot/ShoulderRidingEntity
net/minecraft/world/entity/animal/SnowGolem	net/minecraft/world/entity/animal/golem/SnowGolem
net/minecraft/world/entity/animal/Squid	net/minecraft/world/entity/animal/squid/Squid
net/minecraft/world/entity/animal/Squid$SquidFleeGoal	net/minecraft/world/entity/animal/squid/Squid$SquidFleeGoal
net/minecraft/world/entity/animal/Squid$SquidRandomMovementGoal	net/minecraft/world/entity/animal/squid/Squid$SquidRandomMovementGoal
net/minecraft/world/entity/animal/TropicalFish	net/minecraft/world/entity/animal/fish/TropicalFish
net/minecraft/world/entity/animal/TropicalFish$Base	net/minecraft/world/entity/animal/fish/TropicalFish$Base
net/minecraft/world/entity/animal/TropicalFish$Pattern	net/minecraft/world/entity/animal/fish/TropicalFish$Pattern
net/minecraft/world/entity/animal/TropicalFish$TropicalFishGroupData	net/minecraft/world/entity/animal/fish/TropicalFish$TropicalFishGroupData
net/minecraft/world/entity/animal/TropicalFish$Variant	net/minecraft/world/entity/animal/fish/TropicalFish$Variant
net/minecraft/world/entity/animal/Turtle	net/minecraft/world/entity/animal/turtle/Turtle
net/minecraft/world/entity/animal/Turtle$TurtleBreedGoal	net/minecraft/world/entity/animal/turtle/Turtle$TurtleBreedGoal
net/minecraft/world/entity/animal/Turtle$TurtleGoHomeGoal	net/minecraft/world/entity/animal/turtle/Turtle$TurtleGoHomeGoal
net/minecraft/world/entity/animal/Turtle$TurtleGoToWaterGoal	net/minecraft/world/entity/animal/turtle/Turtle$TurtleGoToWaterGoal
net/minecraft/world/entity/animal/Turtle$TurtleLayEggGoal	net/minecraft/world/entity/animal/turtle/Turtle$TurtleLayEggGoal
net/minecraft/world/entity/animal/Turtle$TurtleMoveControl	net/minecraft/world/entity/animal/turtle/Turtle$TurtleMoveControl
net/minecraft/world/entity/animal/Turtle$TurtlePanicGoal	net/minecraft/world/entity/animal/turtle/Turtle$TurtlePanicGoal
net/minecraft/world/entity/animal/Turtle$TurtlePathNavigation	net/minecraft/world/entity/animal/turtle/Turtle$TurtlePathNavigation
net/minecraft/world/entity/animal/Turtle$TurtleRandomStrollGoal	net/minecraft/world/entity/animal/turtle/Turtle$TurtleRandomStrollGoal
net/minecraft/world/entity/animal/Turtle$TurtleTravelGoal	net/minecraft/world/entity/animal/turtle/Turtle$TurtleTravelGoal
net/minecraft/world/entity/animal/WaterAnimal	net/minecraft/world/entity/animal/fish/WaterAnimal
net/minecraft/world/entity/animal/Wolf	net/minecraft/world/entity/animal/wolf/Wolf
net/minecraft/world/entity/animal/Wolf$WolfAvoidEntityGoal	net/minecraft/world/entity/animal/wolf/Wolf$WolfAvoidEntityGoal
net/minecraft/world/entity/animal/Wolf$WolfPackData	net/minecraft/world/entity/animal/wolf/Wolf$WolfPackData
net/minecraft/world/entity/animal/WolfVariant	net/minecraft/world/entity/animal/wolf/WolfVariant
net/minecraft/world/entity/animal/WolfVariants	net/minecraft/world/entity/animal/wolf/WolfVariants
net/minecraft/world/entity/animal/horse/AbstractChestedHorse	net/minecraft/world/entity/animal/equine/AbstractChestedHorse
net/minecraft/world/entity/animal/horse/AbstractChestedHorse$1	net/minecraft/world/entity/animal/equine/AbstractChestedHorse$1
net/minecraft/world/entity/animal/horse/AbstractHorse	net/minecraft/world/entity/animal/equine/AbstractHorse
net/minecraft/world/entity/animal/horse/Donkey	net/minecraft/world/entity/animal/equine/Donkey
net/minecraft/world/entity/animal/horse/Horse	net/minecraft/world/entity/animal/equine/Horse
net/minecraft/world/entity/animal/horse/Horse$HorseGroupData	net/minecraft/world/entity/animal/equine/Horse$HorseGroupData
net/minecraft/world/entity/animal/horse/Llama	net/minecraft/world/entity/animal/equine/Llama
net/minecraft/world/entity/animal/horse/Llama$LlamaAttackWolfGoal	net/minecraft/world/entity/animal/equine/Llama$LlamaAttackWolfGoal
net/minecraft/world/entity/animal/horse/Llama$LlamaGroupData	net/minecraft/world/entity/animal/equine/Llama$LlamaGroupData
net/minecraft/world/entity/animal/horse/Llama$LlamaHurtByTargetGoal	net/minecraft/world/entity/animal/equine/Llama$LlamaHurtByTargetGoal
net/minecraft/world/entity/animal/horse/Llama$Variant	net/minecraft/world/entity/animal/equine/Llama$Variant
net/minecraft/world/entity/animal/horse/Markings	net/minecraft/world/entity/animal/equine/Markings
net/minecraft/world/entity/animal/horse/Mule	net/minecraft/world/entity/animal/equine/Mule
net/minecraft/world/entity/animal/horse/SkeletonHorse	net/minecraft/world/entity/animal/equine/SkeletonHorse
net/minecraft/world/entity/animal/horse/SkeletonTrapGoal	net/minecraft/world/entity/animal/equine/SkeletonTrapGoal
net/minecraft/world/entity/animal/horse/TraderLlama	net/minecraft/world/entity/animal/equine/TraderLlama
net/minecraft/world/entity/animal/horse/TraderLlama$TraderLlamaDefendWanderingTraderGoal	net/minecraft/world/entity/animal/equine/TraderLlama$TraderLlamaDefendWanderingTraderGoal
net/minecraft/world/entity/animal/horse/Variant	net/minecraft/client/renderer/block/dispatch/Variant
net/minecraft/world/entity/animal/horse/ZombieHorse	net/minecraft/world/entity/animal/equine/ZombieHorse
net/minecraft/world/entity/boss/EnderDragonPart	net/minecraft/world/entity/boss/enderdragon/EnderDragonPart
net/minecraft/world/entity/decoration/Painting	net/minecraft/world/entity/decoration/painting/Painting
net/minecraft/world/entity/decoration/PaintingVariant	net/minecraft/world/entity/decoration/painting/PaintingVariant
net/minecraft/world/entity/decoration/PaintingVariants	net/minecraft/world/entity/decoration/painting/PaintingVariants
net/minecraft/world/entity/monster/AbstractIllager	net/minecraft/world/entity/monster/illager/AbstractIllager
net/minecraft/world/entity/monster/AbstractIllager$IllagerArmPose	net/minecraft/world/entity/monster/illager/AbstractIllager$IllagerArmPose
net/minecraft/world/entity/monster/AbstractIllager$RaiderOpenDoorGoal	net/minecraft/world/entity/monster/illager/AbstractIllager$RaiderOpenDoorGoal
net/minecraft/world/entity/monster/AbstractSkeleton	net/minecraft/world/entity/monster/skeleton/AbstractSkeleton
net/minecraft/world/entity/monster/AbstractSkeleton$1	net/minecraft/world/entity/monster/skeleton/AbstractSkeleton$1
net/minecraft/world/entity/monster/Bogged	net/minecraft/world/entity/monster/skeleton/Bogged
net/minecraft/world/entity/monster/CaveSpider	net/minecraft/world/entity/monster/spider/CaveSpider
net/minecraft/world/entity/monster/Drowned	net/minecraft/world/entity/monster/zombie/Drowned
net/minecraft/world/entity/monster/Drowned$DrownedAttackGoal	net/minecraft/world/entity/monster/zombie/Drowned$DrownedAttackGoal
net/minecraft/world/entity/monster/Drowned$DrownedGoToBeachGoal	net/minecraft/world/entity/monster/zombie/Drowned$DrownedGoToBeachGoal
net/minecraft/world/entity/monster/Drowned$DrownedGoToWaterGoal	net/minecraft/world/entity/monster/zombie/Drowned$DrownedGoToWaterGoal
net/minecraft/world/entity/monster/Drowned$DrownedMoveControl	net/minecraft/world/entity/monster/zombie/Drowned$DrownedMoveControl
net/minecraft/world/entity/monster/Drowned$DrownedSwimUpGoal	net/minecraft/world/entity/monster/zombie/Drowned$DrownedSwimUpGoal
net/minecraft/world/entity/monster/Drowned$DrownedTridentAttackGoal	net/minecraft/world/entity/monster/zombie/Drowned$DrownedTridentAttackGoal
net/minecraft/world/entity/monster/Evoker	net/minecraft/world/entity/monster/illager/Evoker
net/minecraft/world/entity/monster/Evoker$EvokerAttackSpellGoal	net/minecraft/world/entity/monster/illager/Evoker$EvokerAttackSpellGoal
net/minecraft/world/entity/monster/Evoker$EvokerCastingSpellGoal	net/minecraft/world/entity/monster/illager/Evoker$EvokerCastingSpellGoal
net/minecraft/world/entity/monster/Evoker$EvokerSummonSpellGoal	net/minecraft/world/entity/monster/illager/Evoker$EvokerSummonSpellGoal
net/minecraft/world/entity/monster/Evoker$EvokerWololoSpellGoal	net/minecraft/world/entity/monster/illager/Evoker$EvokerWololoSpellGoal
net/minecraft/world/entity/monster/Husk	net/minecraft/world/entity/monster/zombie/Husk
net/minecraft/world/entity/monster/Illusioner	net/minecraft/world/entity/monster/illager/Illusioner
net/minecraft/world/entity/monster/Illusioner$IllusionerBlindnessSpellGoal	net/minecraft/world/entity/monster/illager/Illusioner$IllusionerBlindnessSpellGoal
net/minecraft/world/entity/monster/Illusioner$IllusionerMirrorSpellGoal	net/minecraft/world/entity/monster/illager/Illusioner$IllusionerMirrorSpellGoal
net/minecraft/world/entity/monster/Pillager	net/minecraft/world/entity/monster/illager/Pillager
net/minecraft/world/entity/monster/Skeleton	net/minecraft/world/entity/monster/skeleton/Skeleton
net/minecraft/world/entity/monster/SpellcasterIllager	net/minecraft/world/entity/monster/illager/SpellcasterIllager
net/minecraft/world/entity/monster/SpellcasterIllager$IllagerSpell	net/minecraft/world/entity/monster/illager/SpellcasterIllager$IllagerSpell
net/minecraft/world/entity/monster/SpellcasterIllager$SpellcasterCastingSpellGoal	net/minecraft/world/entity/monster/illager/SpellcasterIllager$SpellcasterCastingSpellGoal
net/minecraft/world/entity/monster/SpellcasterIllager$SpellcasterUseSpellGoal	net/minecraft/world/entity/monster/illager/SpellcasterIllager$SpellcasterUseSpellGoal
net/minecraft/world/entity/monster/Spider	net/minecraft/world/entity/monster/spider/Spider
net/minecraft/world/entity/monster/Spider$SpiderAttackGoal	net/minecraft/world/entity/monster/spider/Spider$SpiderAttackGoal
net/minecraft/world/entity/monster/Spider$SpiderEffectsGroupData	net/minecraft/world/entity/monster/spider/Spider$SpiderEffectsGroupData
net/minecraft/world/entity/monster/Spider$SpiderTargetGoal	net/minecraft/world/entity/monster/spider/Spider$SpiderTargetGoal
net/minecraft/world/entity/monster/Stray	net/minecraft/world/entity/monster/skeleton/Stray
net/minecraft/world/entity/monster/Vindicator	net/minecraft/world/entity/monster/illager/Vindicator
net/minecraft/world/entity/monster/Vindicator$VindicatorBreakDoorGoal	net/minecraft/world/entity/monster/illager/Vindicator$VindicatorBreakDoorGoal
net/minecraft/world/entity/monster/Vindicator$VindicatorJohnnyAttackGoal	net/minecraft/world/entity/monster/illager/Vindicator$VindicatorJohnnyAttackGoal
net/minecraft/world/entity/monster/WitherSkeleton	net/minecraft/world/entity/monster/skeleton/WitherSkeleton
net/minecraft/world/entity/monster/Zombie	net/minecraft/world/entity/monster/zombie/Zombie
net/minecraft/world/entity/monster/Zombie$ZombieAttackTurtleEggGoal	net/minecraft/world/entity/monster/zombie/Zombie$ZombieAttackTurtleEggGoal
net/minecraft/world/entity/monster/Zombie$ZombieGroupData	net/minecraft/world/entity/monster/zombie/Zombie$ZombieGroupData
